Year,Player Name,Position,Team,College / Origin,Year Drafted,Draft Pick,Height,Weight,Minutes Per Game,Points Per Game,Rebounds Per Game,Assists Per Game,Blocks Per Game,Steals Per Game,Turnovers Per Game,FG%,3P%,FT%,Win Shares
1997,Tammy Jackson,F-C,HOU,Florida,1997,16,6-2,190lb,19.5,4.1,4.1,0.4,0.4,1.6,1.8,0.409,0.0,0.61,0.9
1997,Tara Williams,G,PHO,Auburn,1998,5,5-11,170lb,7.0,3.1,0.7,0.3,0.0,0.3,0.3,0.41,0.455,,0.2
1997,Teresa Weatherspoon,G,NYL,Louisiana Tech,1997,,5-8,161lb,33.0,7.0,4.1,6.2,0.1,3.0,3.4,0.467,0.086,0.65,3.5
1997,Tia Jackson,F,PHO,Iowa,1997,9,6-0,148lb,12.3,2.8,2.2,1.0,0.3,0.9,1.4,0.342,0.375,0.84,0.5
1997,Tiffany Woosley,G,HOU,Tennessee,,Undrafted,5-7,132lb,15.3,2.9,1.1,1.1,0.0,0.7,1.2,0.33,0.32,0.25,0.1
1997,Tina Nicholson,G,CLE,Penn State,1997,20,5-2,,11.4,2.0,0.4,1.8,0.0,0.5,1.2,0.409,0.375,0.6,0.1
1997,Tina Thompson,F,HOU,USC,1997,1,6-2,178lb,31.6,13.2,6.6,1.1,1.0,0.8,2.2,0.418,0.37,0.838,4.3
1997,Toni Foster,F-C,PHO,Iowa,1997,8,6-1,175lb,26.3,8.8,6.1,1.0,0.8,1.9,1.9,0.468,0.167,0.704,3.5
1997,Tora Suber,G,CHA,Virginia,1997,7,5-7,137lb,17.0,4.7,1.5,2.0,0.1,0.5,1.8,0.37,0.397,0.683,0.5
1997,Travesa Gant,C,LAS,Lamar,1997,30,,,6.5,0.0,1.5,0.0,0.0,0.0,1.0,0.0,,,-0.1
1997,Trena Trice,F-C,NYL,NC State,1997,22,6-2,180lb,12.1,4.8,2.4,0.1,0.3,0.3,1.4,0.554,0.25,0.667,0.9
1997,Umeki Webb,G-F,PHO,,,24,5-10,162lb,27.7,5.0,4.2,2.4,0.3,2.4,2.0,0.297,0.067,0.687,1.6
1997,Vickie Johnson,G-F,NYL,Louisiana Tech,1997,12,5-9,150lb,30.3,9.6,4.2,2.5,0.2,0.7,1.9,0.404,0.19,0.771,1.7
1997,Vicky Bullett,F,CHA,Maryland,1997,,6-3,185lb,31.3,12.8,6.4,2.3,2.0,1.9,2.4,0.448,0.304,0.775,4.2
1997,Wanda Guyton,C,HOU,South Florida,1997,5,6-1,178lb,26.7,6.1,5.4,0.5,0.3,1.0,1.7,0.467,,0.559,1.7
1997,Wendy Palmer,F,UTA,Virginia,1997,9,6-2,,33.4,15.8,8.0,1.7,0.2,1.7,2.5,0.374,0.25,0.676,2.0
1997,Yolanda Moore,F-C,HOU,Ole Miss,1999,6,6-0,,7.2,1.2,1.0,0.1,0.0,0.1,0.5,0.25,,0.5,-0.2
1997,Yvette Angel,G,SAC,Ohio State,,Undrafted,5-8,,18.0,2.8,1.8,2.2,0.2,0.8,1.6,0.438,0.0,0.0,-0.1
1998,Adia Barnes,F,SAC,Arizona,1998,32,5-11,165lb,21.3,7.6,2.9,0.8,0.3,0.5,1.8,0.395,0.298,0.744,0.0
1998,Adrienne Johnson,G,CLE,Ohio State,1999,8,5-10,154lb,11.4,4.6,1.7,0.5,0.1,0.2,0.8,0.457,0.424,0.722,0.7
1998,Adrienne Shuler,G,WAS,Georgia,,Undrafted,5-6,,14.5,3.6,2.1,1.9,0.1,0.9,1.6,0.369,0.342,0.824,-0.1
1998,Albena Branzova,F,NYL,Florida International University,1998,29,6-4,,8.5,2.1,1.5,0.5,0.1,0.3,1.1,0.36,0.5,0.75,-0.1
1998,Alessandra Santos de Oliveira,C,WAS,Brazil,1998,,6-5,181lb,30.1,11.0,8.1,0.1,0.4,0.8,3.4,0.516,,0.463,-0.3
1998,Alicia Thompson,F,NYL,Texas Tech,1998,9,6-1,180lb,6.6,1.6,1.3,0.2,0.1,0.1,0.4,0.231,1.0,0.632,-0.1
1998,Allison Feaster,F,LAS,Harvard University,1998,5,5-11,168lb,13.7,3.3,0.7,1.0,0.0,0.7,1.3,0.214,0.2,1.0,-0.1
1998,Amaya Valdemoro,F,HOU,Spain,1998,30,6-1,,3.8,1.9,0.6,0.4,0.1,0.4,1.1,0.5,0.4,0.706,0.1
1998,Andrea Congreaves,F-C,CHA,Mercer University,1997,26,6-2,183lb,15.5,4.3,3.0,1.5,0.2,0.5,1.0,0.432,0.294,0.905,1.5
1998,Andrea Kuklova,G-F,PHO,Slovakia,1998,18,6-0,150lb,11.7,3.3,1.3,1.1,0.1,0.6,1.4,0.4,0.143,0.556,0.1
1998,Andrea Stinson,G,CHA,NC State,1997,,5-10,158lb,34.9,15.0,4.6,4.5,0.5,1.8,2.6,0.418,0.282,0.75,4.2
1998,Aneta Kausaite,F,DET,Emporia State University,,Undrafted,6-0,155lb,5.8,1.4,1.1,0.1,0.0,0.3,0.3,0.25,0.0,0.571,0.0
1998,Angela Jackson,C,WAS,Texas,1998,33,6-4,,5.1,1.4,0.6,0.0,0.3,0.1,0.0,0.5,,0.667,0.1
1998,Angie Hamblin,G-F,DET,Iowa,1998,23,5-10,170lb,4.8,1.0,1.2,0.3,0.0,0.2,1.2,0.25,0.5,0.5,-0.2
