RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG.,X3PM,X3PA,X3P.,FTM,FTA,FT.,REB,AST,STL,BLK,TO,DD2,TD3,year,team.abbr,overall_pick,team,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
44,Umeki Webb,NA,28,27.7,5,1.7,5.6,29.7,0,0.5,6.7,1.6,2.4,68.7,4.2,2.4,2.4,0.3,2,0,0,1997,NA,24,Phoenix Mercury,,NC State,3,71,3.9,0.086,25.6,4.8,3.5,2.5
45,Sharon Manning,NA,28,15.6,4.9,2.1,4.5,46.4,0,0,0,0.8,1.8,42,3.5,0.5,0.9,0.2,1,0,0,1997,NA,10,Charlotte Sting,,NC State,4,114,5.2,0.108,17,4.7,4.2,0.7
46,Katrina Colleton,NA,28,21.9,4.9,2,4.5,43.7,0.3,0.9,36,0.6,1.1,56.7,2.1,1.6,1.3,0.3,1.3,0,0,1997,NA,19,Los Angeles Sparks,,Maryland,4,104,0.7,0.013,21,4.9,1.7,1.4
47,Penny Moore,NA,28,19.3,4.8,2,5.7,35.8,0.2,0.9,20,0.6,1.1,51.6,2.6,1,0.6,0.4,1.6,0,0,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Trena Trice,NA,28,12.1,4.8,1.8,3.3,55.4,0.1,0.3,25,1.1,1.6,66.7,2.4,0.1,0.3,0.3,1.4,0,0,1997,NA,22,New York Liberty,,NC State,2,38,1,0.098,11,4.1,2.3,0.1
49,Tora Suber,NA,28,17,4.7,1.4,3.9,37,0.8,2.1,39.7,1,1.5,68.3,1.5,2,0.5,0.1,1.8,0,0,1997,NA,7,Charlotte Sting,,Virginia,3,83,1.4,0.046,15.3,4,1.3,1.8
50,Tajama Abraham,NA,28,15.1,4.4,1.7,4.5,38.1,0,0,0,0.9,1.4,68.4,2.4,0.5,0.4,0.4,1.8,0,0,1997,NA,31,Sacramento Monarchs,,George Washington,2,40,-0.8,-0.07,11.7,3.5,1.9,0.3
1,Cynthia Cooper,NA,30,35,22.7,6.8,15.2,44.6,2.1,5.3,40,7,8.2,85.4,3.7,4.4,1.6,0.4,3.2,1,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Jennifer Gillom,F,30,32.1,20.8,7.6,16.4,46.3,1,2.7,37.8,4.6,6.5,70.3,7.3,1.4,1.7,0.3,3,6,0,1998,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Lisa Leslie,NA,28,32.1,19.6,7.2,15.1,47.8,0.3,0.8,39.1,4.9,6.3,76.8,10.2,2.5,1.5,2.1,3.6,16,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Nikki McCray-Penson,NA,29,33.4,17.7,6.6,15.8,41.8,0.8,2.5,31.5,3.7,4.9,74.8,2.9,3.1,1.5,0.1,4.3,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Tamecka Dixon,NA,22,32.3,16.2,5.6,12.9,43.8,1,2.7,35.6,4,5.1,77.9,2.5,2.5,1.1,0.4,2.6,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Sheryl Swoopes,NA,29,32.3,15.6,6,14,42.7,1.2,3.4,36,2.4,3,82.6,5.1,2.1,2.5,0.5,2,4,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Andrea Stinson,NA,30,34.9,15,5.8,13.8,41.8,1,3.4,28.2,2.5,3.3,75,4.6,4.5,1.8,0.5,2.6,1,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Latasha Byears,NA,30,27.6,14.2,6,13.3,45.3,0.1,0.6,22.2,2,3.1,66.3,6.6,1,1.4,0.4,2.4,6,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Sandy Brondello,NA,30,33.1,14.2,5.2,12.2,42.8,0.5,1.5,36.4,3.2,3.5,92.3,2.9,3.3,1.3,0,2.1,1,0,1998,NA,34,Detroit Shock,Australia,,5,155,12.4,0.108,29.6,11.4,1.9,2.3
10,Korie Hlede,NA,27,33.8,14.1,5,12.8,39.1,1.1,2.7,39.2,3.1,3.8,80.6,5.2,2.7,0.8,0,3.3,2,0,1998,NA,4,Detroit Shock,,Duquesne,5,133,5.8,0.076,22.9,8.9,2.8,2.1
11,Sophia Witherspoon,NA,30,29.9,13.8,4.8,12,40.1,1.1,3.2,34.4,3.1,3.9,78.6,3,1.9,1.3,0.1,2.4,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Tracy Reid,NA,30,32.2,13.8,5,10.3,48.7,0,0.1,0,3.7,6,61.3,5.2,1.5,1.3,0.4,2.4,1,0,1998,NA,7,Charlotte Sting,,UNC,6,116,3.3,0.054,21.1,7.5,3.4,1
13,Isabelle Fijalkowski,NA,28,28.8,13.7,5.2,9.5,54.7,0.1,0.4,40,3.1,3.8,82.1,6.9,2.1,0.6,1,2.9,2,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Wendy Palmer,NA,28,27.2,13.5,5.2,11,47.2,0.2,0.6,35.3,2.9,4.4,65.3,6.6,1.1,0.6,0.2,2,6,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Vicky Bullett,NA,30,31.6,13.3,5.4,12.2,44.1,0.1,0.9,15.4,2.4,2.9,82.6,6.5,1.5,2.2,1.5,2.1,4,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Margo Dydek,NA,30,28,12.9,4.9,10.1,48.2,0,0.2,14.3,3.1,4.2,73.2,7.6,1.8,0.5,3.8,3.6,8,0,1998,NA,1,Utah Starzz,Poland,,11,323,26.8,0.136,24.4,10,6.6,1.6
17,Tina Thompson,F,27,32.4,12.7,4.5,10.7,41.9,1.4,3.8,35.9,2.3,2.7,85.1,7.1,0.9,1.1,0.9,1.7,4,0,1998,SEA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Vickie JohnsonLV,G,30,30.2,12.5,4.9,10.9,44.6,0.7,1.9,37.5,2.1,2.7,76.8,3.8,2.5,1,0.2,1.5,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Penny Toler,G,30,31.5,12.3,4.8,11.6,41.5,0.8,2,41.7,1.8,2.5,74.3,3.5,4.8,1.1,0.1,3.4,1,0,1998,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Eva Nemcova,NA,30,32.4,12,4.4,9.4,46.8,0.9,2.1,45.2,2.2,2.5,89.3,3.7,2.2,1.1,0.7,2.1,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Cindy Brown,NA,30,32.2,11.8,4.2,8.9,47,0.7,2,32.8,2.7,3.8,71.9,10,1.8,1.7,0.7,2.2,14,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Rebecca Lobo,NA,30,29.2,11.7,4.5,9.4,48.4,0.4,1.3,30.8,2.2,3.1,71,6.9,1.5,0.6,1.1,2.2,5,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Bridget Pettis,NA,30,28.3,11.3,3.8,10,37.7,1.2,4.1,28.5,2.6,3,86.5,3.4,2.1,1,0.3,2.1,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Rhonda Mapp,NA,21,21.7,10.1,4,7.8,50.6,0,0.5,10,2.1,2.9,75,4.2,1.6,0.6,0.4,1.9,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Janice Braxton,NA,30,28,9.8,3.6,7.3,49.5,0.1,0.2,33.3,2.6,3.4,75.5,5.6,2.5,1.7,0.5,2.2,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Tangela  SmithLV,C,28,25.3,9.7,4,10,40.5,0.2,0.5,35.7,1.4,1.9,74.1,4.6,1.1,0.6,1.6,1.6,1,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Merlakia Jones,NA,30,22.8,9.5,3.6,7.8,46.4,0.2,0.7,35,2,2.7,75.3,3.2,1.3,1.1,0.1,1.7,1,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Michelle Brogan,NA,30,26,9.2,3.1,6.1,50.5,0.4,0.8,47.8,2.6,3.3,79.6,4.4,1.4,1.5,0.2,1.7,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Kym Hampton,NA,30,24.8,9.1,3.3,7.2,45.2,0,0,0,2.6,3.6,71.6,6,0.9,1.1,0.5,2.1,3,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Razija Brcaninovic,NA,30,23.2,9.1,3.5,6.8,52,0,0,0,2,3,66.7,5.1,1,0.3,0.9,2.1,3,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Suzie Serio,NA,28,31.5,8.6,2.9,6.3,45.5,1,2.5,40.8,1.8,2.5,72.9,2.2,6.4,1.8,0.2,3.7,2,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Kim Perrot,NA,30,32.9,8.5,2.9,7.3,40.4,1,3.6,26.9,1.6,2.3,70,3.1,4.7,2.8,0,2.7,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Murriel Page,NA,30,31.8,8.3,3.5,7.2,47.9,0,0.1,0,1.4,2.2,63.1,6.9,1.3,0.6,0.4,1.9,1,0,1998,NA,3,Washington Mystics,,Florida,11,354,15.4,0.073,23.9,6.1,4.5,1.2
34,Penny Moore,NA,29,26.1,8.2,3.2,9.3,34.3,0.7,3.2,20.7,1.1,1.6,71.7,3.7,1.6,1.5,0.7,2.1,1,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Mwadi Mabika,NA,29,24.5,8.2,3,8.9,33.9,1.1,3.7,30.8,1,1.5,69.8,4.4,1.5,1,0.3,1.3,1,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Carla Boyd,NA,30,27.2,8.2,3,8.7,34.2,0.6,2.1,30.2,1.6,2.5,63.2,3.9,2.3,0.9,0.3,1.7,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Michelle Edwards,NA,23,23.2,7.7,3,7.1,41.7,0.5,1.5,32.4,1.3,2.2,62,2.3,2.8,1,0,2,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Kim Williams,NA,30,18.1,7.6,3,7.4,40.8,0.3,0.9,32.1,1.2,1.6,73.5,1.9,1.5,1.4,0.2,2.2,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Adia Oshun Barnes,NA,29,21.3,7.6,3,7.7,39.5,0.5,1.6,29.8,1,1.3,74.4,2.9,0.8,0.5,0.3,1.8,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Linda Burgess,NA,30,23.1,7.5,3,6.3,47.6,0,0.3,12.5,1.5,2,76.3,4.9,0.9,1.4,0.4,2,2,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Lady Grooms,NA,30,26.4,7.1,2.5,5.1,48.7,0,0.2,16.7,2.1,3.1,67,2.7,1.6,0.7,0.1,1.7,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Michele Timms,NA,30,31.1,6.9,2.4,7.4,31.8,1,3.5,29.8,1.1,1.6,69.4,2.5,5.3,1.3,0.1,2.3,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Janeth Arcain,NA,30,21.9,6.8,2.8,6.5,42.6,0.2,1.1,15.2,1.1,1.5,75.6,3.6,0.9,0.8,0.1,1.3,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Teresa Weatherspoon,G,30,33.4,6.8,2.4,6.3,38.8,0.5,1.6,32.7,1.4,2.3,60.9,4,6.4,3.3,0,3.2,1,0,1998,NYL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Pamela McGee,NA,30,19,6.8,2.7,6.1,43.7,0,0.1,0,1.4,2.3,61.4,4.8,0.4,0.8,0.8,1.8,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Heidi Burge,NA,30,16.7,6.7,2.7,5.3,50.9,0.1,0.2,28.6,1.2,2.1,59.7,3.3,0.9,0.5,0.5,2.4,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Tammy Reiss,NA,22,21.7,6.5,2.5,6.1,40.3,0.7,2.5,29.6,0.9,1.3,65.5,1.8,2.2,0.5,0,1.1,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Rushia Brown,NA,30,17.4,6.5,2.1,4.6,46,0,0,0,2.2,2.8,77.6,3.1,0.9,1.1,0.5,1.6,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Ticha Penicheiro,G,30,36,6.3,1.8,5.5,33.3,0.3,1.4,23.3,2.3,3.6,64.2,4.7,7.5,2.2,0.1,3.9,3,0,1998,CHI,2,Sacramento Monarchs,,Old Dominion,15,454,27.4,0.086,28.2,6.1,3.3,5.7
50,Tora Suber,NA,30,22.7,6,1.9,6.2,31.4,1.2,3.9,31,1,1.5,63,1.8,2.9,1,0,1.5,0,0,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Cynthia Cooper,NA,31,35.5,22.1,6.8,14.8,46.3,1.9,5.6,33.5,6.6,7.4,89.1,2.8,5.2,1.4,0.4,3.4,1,0,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Yolanda Griffith,NA,29,33.8,18.8,6.9,12.8,54.1,0,0,0,5,8.1,61.7,11.3,1.6,2.5,1.9,2.3,17,0,1999,NA,2,Sacramento Monarchs,Chicago Condors (ABL),Florida Atlantic University,11,311,59.4,0.265,28.8,13.6,7.9,1.5
3,Sheryl Swoopes,NA,32,34.4,18.3,7.1,15.3,46.2,1,3.1,33.7,3.1,3.8,82,6.3,4,2.4,1.4,2.6,3,1,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Natalie Williams,NA,28,34.1,18,6.4,12.4,51.9,0,0.1,0,5.1,6.8,75.4,9.2,0.9,1.4,0.8,2.4,12,0,1999,NA,3,Utah Starzz,Portland Power (ABL),UCLA,7,221,29.3,0.171,31.1,13.1,8.3,1.4
5,Nikki McCray-Penson,NA,32,32.6,17.5,6,14.2,42.4,1.4,4.8,30.1,4,5,80.6,2.7,2.4,1.1,0,3.3,0,0,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Chamique Holdsclaw,F,31,34.2,16.9,6.5,14.9,43.7,0.2,0.9,17.2,3.7,4.8,77.3,7.9,2.4,1.2,0.9,3.5,6,0,1999,WAS,1,Washington Mystics,,Tennessee,11,279,33.2,0.145,32.9,16.9,7.6,2.5
7,Brandy Reed,NA,25,30.3,16.1,6.7,14.6,45.9,0.5,1.5,34.2,2.1,2.8,75.7,6,2.6,1.2,0.7,2.5,1,0,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Lisa Leslie,NA,32,29.1,15.6,5.7,12.2,46.8,0.7,1.6,42.3,3.6,4.9,73.1,7.8,1.8,1.1,1.5,2.9,8,0,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Jennifer Gillom,F,32,34.2,15.2,5.1,13.4,38.1,0.6,2.3,25,4.4,5.5,79.7,5.8,1.7,1.2,0.2,2.7,3,0,1999,LOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
